,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,movie_id,runtime_minutes,genres
626,2016-02-12,zoolander 2,50.0,28.848693,55.348693,5.348692999999997,tt1608290,101.0,Comedy
627,2013-03-29,the host,50.0,26.623701,64.477051,14.477051000000003,tt1517260,125.0,"Action,Adventure,Drama"
629,2015-03-13,run all night,50.0,26.461644,66.961644,16.961644000000007,tt2199571,114.0,"Action,Drama,Thriller"
630,2019-04-12,hellboy,50.0,21.903748,40.725492,-9.274507999999997,tt2274648,120.0,"Action,Adventure,Fantasy"
631,2011-04-08,your highness,50.0,21.596445,26.121638,-23.878362,tt1240982,102.0,"Adventure,Comedy,Fantasy"
632,2016-09-16,snowden,50.0,21.587519,35.380918,-14.619081999999999,tt3774114,134.0,"Biography,Drama,Thriller"
634,2011-09-30,dream house,50.0,21.30234,41.642166,-8.357833999999997,tt1462041,84.0,"Drama,Mystery,Thriller"
635,2016-06-24,free state of jones,50.0,20.810036,23.237252,-26.762748,tt1124037,139.0,"Action,Biography,Drama"
636,2013-02-14,beautiful creatures,50.0,19.452138,60.282876,10.282876000000002,tt1559547,124.0,"Drama,Fantasy,Romance"
637,2011-02-25,drive angry,50.0,10.721033,41.042583,-8.957417,tt1502404,104.0,"Action,Fantasy,Thriller"
638,2018-02-16,early man,50.0,8.267544,45.28589,-4.714109999999998,tt4701724,89.0,"Adventure,Animation,Comedy"
639,2015-04-17,child 44,50.0,1.22433,8.004221,-41.995779,tt1014763,137.0,"Crime,Drama,History"
640,2013-03-15,upside down,50.0,0.102118,26.387039,-23.612961,tt1374992,109.0,"Drama,Fantasy,Romance"
646,2015-10-02,shanghai,50.0,0.046425,15.505922,-34.494078,tt1092634,105.0,"Crime,Drama,Mystery"
649,2015-03-06,chappie,49.0,31.569268,105.002056,56.002055999999996,tt1823672,120.0,"Action,Crime,Drama"
651,2012-11-16,anna karenina,49.0,12.816367,71.004627,22.004627,tt1781769,129.0,"Drama,Romance"
652,2015-01-09,taken 3,48.0,89.256424,327.656424,279.656424,tt2446042,108.0,"Action,Thriller"
