id,release_date,movie,production_budget,domestic_gross,worldwide_gross,,,,,,,,
39,20-Nov-15,The Hunger Games: Mockingjay - Part 2,"$160,000,000 ","$281,723,902 ","$648,986,787 ",,The Hunger Games: Mockingjay - Part 2,,,,,#VALUE!,0
40,24-May-13,Fast and Furious 6,"$160,000,000 ","$238,679,850 ","$789,300,444 ",,Fast and Furious 6,,,,,#VALUE!,0
41,16-May-14,Godzilla,"$160,000,000 ","$200,676,069 ","$529,076,069 ",,Godzilla,,,,,#VALUE!,0
42,3-Jun-11,X-Men: First Class,"$160,000,000 ","$146,408,305 ","$355,408,305 ",,X-Men: First Class,,,,,#VALUE!,0
43,25-Dec-08,The Curious Case of Benjamin Button,"$160,000,000 ","$127,509,326 ","$329,631,958 ",,The Curious Case of Benjamin Button,,,,,#VALUE!,0
44,14-Jul-10,The Sorcerer's Apprentice,"$160,000,000 ","$63,150,991 ","$217,986,320 ",,The Sorcerer's Apprentice,,,,,#VALUE!,0
45,12-May-06,Poseidon,"$160,000,000 ","$60,674,817 ","$181,674,817 ",,Poseidon,,,,,#VALUE!,0
46,10-Jun-16,Warcraft,"$160,000,000 ","$47,225,655 ","$425,522,281 ",,Warcraft,,,,,#VALUE!,0
47,30-Sep-16,Deepwater Horizon,"$156,000,000 ","$61,433,527 ","$122,603,824 ",,Deepwater Horizon,,,,,#VALUE!,0
48,10-Dec-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$155,000,000 ","$104,386,950 ","$418,186,950 ",,The Chronicles of Narnia: The Voyage of the Dawn Treader,,,,,#VALUE!,0
49,1-Jul-15,Terminator: Genisys,"$155,000,000 ","$89,760,956 ","$432,150,894 ",,Terminator: Genisys,,,,,#VALUE!,0
50,23-Mar-18,Pacific Rim: Uprising,"$155,000,000 ","$59,874,525 ","$290,930,148 ",,Pacific Rim: Uprising,,,,,#VALUE!,0
51,24-Nov-04,Alexander,"$155,000,000 ","$34,297,191 ","$167,297,191 ",,Alexander,,,,,#VALUE!,0
52,14-Jul-17,War for the Planet of the Apes,"$152,000,000 ","$146,880,162 ","$489,592,267 ",,War for the Planet of the Apes,,,,,#VALUE!,0
53,25-May-01,Pearl Harbor,"$151,500,000 ","$198,539,855 ","$449,239,855 ",,Pearl Harbor,,,,,#VALUE!,0
54,2-Jul-07,Transformers,"$151,000,000 ","$319,246,193 ","$708,272,592 ",,Transformers,,,,,#VALUE!,0
55,2-Jun-17,Wonder Woman,"$150,000,000 ","$412,563,408 ","$821,133,378 ",,Wonder Woman,,,,,#VALUE!,0
